,ensembl_gene_id,id,DL_OR
737,ENSMUSG00000095484,Olfr1480,OR5B121
738,ENSMUSG00000045421,Olfr1390,OR2Y17
739,ENSMUSG00000048080,Olfr731,OR4K6
740,ENSMUSG00000043267,Olfr1031,OR5M8
741,ENSMUSG00000055838,Olfr357,OR1Q1
742,ENSMUSG00000072707,Olfr31,OR2T1
743,ENSMUSG00000049280,Olfr509,OR10AB5
744,ENSMUSG00000062042,Olfr294,OR14A256
745,ENSMUSG00000051362,Olfr589,OR52E2
746,ENSMUSG00000047149,Olfr1052,OR5J3
747,ENSMUSG00000051611,Olfr112,OR14J9
748,ENSMUSG00000110819,Olfr1252,OR4A79
749,ENSMUSG00000107645,Olfr1380,OR2Y10
750,ENSMUSG00000061616,Olfr12,OR9S13
751,ENSMUSG00000045474,Olfr1368,OR2AD1
752,ENSMUSG00000095696,Olfr786,OR6C1B
753,ENSMUSG00000052417,Olfr720,OR2T6
754,ENSMUSG00000092292,Olfr113,OR14J2
755,ENSMUSG00000094488,Olfr393,OR1E33
756,ENSMUSG00000051793,Olfr284,OR8S5
757,ENSMUSG00000075090,Olfr1234,OR4A15
758,ENSMUSG00000075115,Olfr1200,OR4A67
759,ENSMUSG00000059030,Olfr128,OR14J7
760,ENSMUSG00000070460,Olfr291,OR5AE2
761,ENSMUSG00000049797,Olfr642,OR51A10
762,ENSMUSG00000096356,Olfr889,OR8B40
763,ENSMUSG00000071629,Olfr1477,OR5B120
764,ENSMUSG00000074947,Olfr1312,OR4F59
765,ENSMUSG00000051051,Olfr523,OR6F2
766,ENSMUSG00000066268,Olfr586,OR51A5
767,ENSMUSG00000096465,Olfr488,OR5P64
768,ENSMUSG00000063221,Olfr930,OR8D23
769,ENSMUSG00000111021,Olfr50,OR1J21
770,ENSMUSG00000051591,Olfr697,OR2AG15
771,ENSMUSG00000059366,Olfr959,OR10D1
772,ENSMUSG00000096068,Olfr486,OR5P62
773,ENSMUSG00000096409,Olfr890,OR8B41
774,ENSMUSG00000075079,Olfr1249,OR4A76
775,ENSMUSG00000058659,Olfr58,OR7E165
776,ENSMUSG00000075181,Olfr1066,OR8K28
777,ENSMUSG00000108265,Olfr318,OR2AK5
778,ENSMUSG00000061798,Olfr1204,OR4C106
779,ENSMUSG00000070821,Olfr1340,OR13P8
780,ENSMUSG00000073960,Olfr583,OR51F1D
781,ENSMUSG00000100016,Olfr1215,OR4C110
782,ENSMUSG00000057503,Olfr1459,OR5B106
783,ENSMUSG00000096169,Olfr1564,OLFR1564
784,ENSMUSG00000090631,Olfr456,OR2R2
785,ENSMUSG00000057890,Olfr1375,OR1X6
786,ENSMUSG00000061342,Olfr1168,OR5D40
787,ENSMUSG00000061961,Olfr815,OR6C217
788,ENSMUSG00000111454,Olfr998,OR5G29
789,ENSMUSG00000046881,Olfr374,OR1AB2
790,ENSMUSG00000109542,Olfr470,OR5P51
791,ENSMUSG00000096209,Olfr510,OR5P81
792,ENSMUSG00000043366,Olfr78,OR51E2
793,ENSMUSG00000111689,Olfr1082,OR8K35
794,ENSMUSG00000068431,Olfr742,OR11G26
795,ENSMUSG00000096220,Olfr775,OR6C205
796,ENSMUSG00000050776,Olfr1317,OR4F47
797,ENSMUSG00000057067,Olfr297,OR14C45
798,ENSMUSG00000096427,Olfr895,OR8C17
799,ENSMUSG00000050158,Olfr165,OR2M13
800,ENSMUSG00000051528,Olfr424,OR6K4
801,ENSMUSG00000075144,Olfr1156,OR5L13
802,ENSMUSG00000048391,Olfr843,OR7G25
803,ENSMUSG00000070875,Olfr1100,OR8H10
804,ENSMUSG00000055571,Olfr305,OR14A259
805,ENSMUSG00000061165,Olfr160,OR8A1B
806,ENSMUSG00000075074,Olfr1254,OR4A81
807,ENSMUSG00000045202,Olfr123,OR2G1
808,ENSMUSG00000095917,Olfr740,OR11G7
809,ENSMUSG00000053146,Olfr352,OR1J20
810,ENSMUSG00000075086,Olfr1241,OR4A69
811,ENSMUSG00000051680,Olfr693,OR2AG12
812,ENSMUSG00000062629,Olfr114,OR14J3
813,ENSMUSG00000046272,Olfr1444,OR5B21
814,ENSMUSG00000061614,Olfr845,OR7G27
815,ENSMUSG00000109487,Olfr1298,OR4K48
816,ENSMUSG00000059873,Olfr1029,OR5M11B
817,ENSMUSG00000045132,Olfr620,OR51V14
818,ENSMUSG00000049028,Olfr873,OR7E177
819,ENSMUSG00000067064,Olfr1416,OR6B2
820,ENSMUSG00000068816,Olfr152,OR5I1
821,ENSMUSG00000093877,Olfr1348,OR6Z1
822,ENSMUSG00000051414,Olfr829,OR7G17
823,ENSMUSG00000075095,Olfr1229,OR4C15B
824,ENSMUSG00000060114,Olfr910,OR8B46
825,ENSMUSG00000070423,Olfr558,OR51E1
826,ENSMUSG00000047545,Olfr629,OR52AE9
827,ENSMUSG00000059023,Olfr1201,OR4C11B
828,ENSMUSG00000050818,Olfr330,OR2T48
829,ENSMUSG00000046150,Olfr918,OR8B3B
830,ENSMUSG00000075170,Olfr1097,OR8H7
831,ENSMUSG00000062142,Olfr569,OR52R1
832,ENSMUSG00000047626,Olfr791,OR6C2
833,ENSMUSG00000073926,Olfr653,OR52D3
834,ENSMUSG00000051952,Olfr371,OR7C19
835,ENSMUSG00000096029,Olfr679,OR56A3
836,ENSMUSG00000091983,Olfr457,OR2R3
837,ENSMUSG00000060827,Olfr1193,OR4S2B
838,ENSMUSG00000061367,Olfr771,OR6C202
839,ENSMUSG00000049334,Olfr902,OR8B43
840,ENSMUSG00000068819,Olfr1131,OR5W11
841,ENSMUSG00000045341,Olfr167,OR2L5
842,ENSMUSG00000059460,Olfr286,OR10AD1B
843,ENSMUSG00000059473,Olfr979,OR10G9
844,ENSMUSG00000060888,Olfr566,OR51F1
845,ENSMUSG00000095377,Olfr91,OR2H1
846,ENSMUSG00000075146,Olfr1154,OR9M1
847,ENSMUSG00000091873,Olfr732,OR4N4
848,ENSMUSG00000071065,Olfr806,OR6C213
849,ENSMUSG00000102091,Olfr1034,OR5M9
850,ENSMUSG00000075084,Olfr1243,OR4A71
851,ENSMUSG00000075078,Olfr1250,OR4A77
852,ENSMUSG00000094778,Olfr143,OR8C8
853,ENSMUSG00000068647,Olfr1278,OR4F54
854,ENSMUSG00000089717,Olfr275,OR13F5
855,ENSMUSG00000095002,Olfr798,OR6C66
856,ENSMUSG00000094269,Olfr951,OR8G32
857,ENSMUSG00000057424,Olfr934,OR10D1C
858,ENSMUSG00000049648,Olfr273,OR13C3
859,ENSMUSG00000094422,Olfr205,OR5AC23
860,ENSMUSG00000043274,Olfr1123,OR10AG2
861,ENSMUSG00000043605,Olfr13,OR2A7
862,ENSMUSG00000050128,Olfr1023,OR5M10
863,ENSMUSG00000078624,Olfr613,OR51AB3
864,ENSMUSG00000096320,Olfr1471,OR5B116
865,ENSMUSG00000094119,Olfr612,OR51AA2
866,ENSMUSG00000047048,Olfr432,OR10AA3
867,ENSMUSG00000051046,Olfr214,OR6D14
868,ENSMUSG00000043880,Olfr323,OR11L3
869,ENSMUSG00000094734,Olfr799,OR6C209
870,ENSMUSG00000062245,Olfr170,OR2AJ5
871,ENSMUSG00000058692,Olfr846,OR7G28
872,ENSMUSG00000073951,Olfr598,OR52AB7
873,ENSMUSG00000058802,Olfr97,OR1O2
874,ENSMUSG00000043827,Olfr94,OR2I1
875,ENSMUSG00000055610,Olfr307,OR14A260
876,ENSMUSG00000063374,Olfr763,OR10P21
877,ENSMUSG00000059136,Olfr539,OR13A25
878,ENSMUSG00000096516,Olfr628,OR52A24
879,ENSMUSG00000048745,Olfr820,OR6C33
880,ENSMUSG00000045013,Olfr711,OR6B6
881,ENSMUSG00000075165,Olfr1105,OR5BE3
882,ENSMUSG00000075119,Olfr1197,OR4A27
883,ENSMUSG00000055971,Olfr378,OR1E19
884,ENSMUSG00000075142,Olfr74,OR5D47
885,ENSMUSG00000094878,Olfr130,OR2G7
886,ENSMUSG00000096254,Olfr724,OR4L15
887,ENSMUSG00000070382,Olfr391,OR1E31
888,ENSMUSG00000048501,Olfr938,OR8G24
889,ENSMUSG00000056883,Olfr533,OR12J4
890,ENSMUSG00000075132,Olfr1173,OR5D43
891,ENSMUSG00000073938,Olfr632,OR51AI2
892,ENSMUSG00000100923,Olfr10,OR2Y1B
893,ENSMUSG00000094986,Olfr1454,OR5B102
894,ENSMUSG00000060878,Olfr1420,OR10V1
895,ENSMUSG00000109824,Olfr643,4930516K23RIK
896,ENSMUSG00000075179,Olfr1079,OR8K32
897,ENSMUSG00000044029,Olfr178,OR5K15
898,ENSMUSG00000056959,Olfr315,OR2T45
899,ENSMUSG00000045678,Olfr1489,OR5B124
900,ENSMUSG00000075117,Olfr1198,OR4P23
901,ENSMUSG00000111715,Olfr1246,OR4A73
902,ENSMUSG00000073945,Olfr618,OR52Z13
903,ENSMUSG00000059867,Olfr960,OR10D4B
904,ENSMUSG00000058071,Olfr818,OR6C219
905,ENSMUSG00000050030,Olfr728,OR4K1
906,ENSMUSG00000075145,Olfr1155,OR5D16
907,ENSMUSG00000073962,Olfr576,OR51A7
908,ENSMUSG00000047594,Olfr1122,OR10AG57
909,ENSMUSG00000073963,Olfr572,OR51H5
910,ENSMUSG00000093839,Olfr462,OR4D2B
911,ENSMUSG00000075383,Olfr351,OR1N1
912,ENSMUSG00000073893,Olfr472,OR5P52
913,ENSMUSG00000061457,Olfr871,OR7H8
914,ENSMUSG00000043911,Olfr922,OR8B55
915,ENSMUSG00000043354,Olfr577,OR51G2
916,ENSMUSG00000095804,Olfr824,OR9R7
917,ENSMUSG00000051095,Olfr986,OR6X1
918,ENSMUSG00000062608,Olfr195,OR5K3
919,ENSMUSG00000045306,Olfr734,OR4M1
920,ENSMUSG00000042869,Olfr1370,OR2P2
921,ENSMUSG00000070383,Olfr389,OR1E29
922,ENSMUSG00000109528,Olfr1309,OR4F15
923,ENSMUSG00000080990,Olfr118,OR10AL2
924,ENSMUSG00000052058,Olfr901,OR8B42
925,ENSMUSG00000051509,Olfr414,OR6P1
926,ENSMUSG00000069818,Olfr390,OR1E30
927,ENSMUSG00000033850,Olfr1015,OR9G4B
928,ENSMUSG00000061952,Olfr1377,OR1AD1
929,ENSMUSG00000096566,Olfr1306,OR4F14
930,ENSMUSG00000049073,Olfr985,OR8D4
931,ENSMUSG00000095301,Olfr476,OR5P55
932,ENSMUSG00000096757,Olfr251,OR8C11
933,ENSMUSG00000111732,Olfr785,OR6C5B
934,ENSMUSG00000096695,Olfr196,OR5H26
935,ENSMUSG00000049708,Olfr27,OR8G19
936,ENSMUSG00000059623,Olfr39,OR7D9
937,ENSMUSG00000107573,Olfr1389,OR2Y1D
938,ENSMUSG00000059371,Olfr427,OR6K14
939,ENSMUSG00000110012,Olfr644,OR51A43
940,ENSMUSG00000075104,Olfr1219,OR4C114
941,ENSMUSG00000050772,Olfr1124,OR10AG58
942,ENSMUSG00000070459,Olfr290,OLFR290
943,ENSMUSG00000075168,Olfr1099,OR8H9
944,ENSMUSG00000075189,Olfr1055,OR8K53
945,ENSMUSG00000111159,Olfr1337,OR10AK13
946,ENSMUSG00000111306,Olfr1065,OR8K27
947,ENSMUSG00000094493,Olfr700,OR2AG18
948,ENSMUSG00000075204,Olfr1039,OR5AL5
949,ENSMUSG00000035932,Olfr750,OR6S1
950,ENSMUSG00000108464,Olfr192,OLFR192
951,ENSMUSG00000069816,Olfr23,OR1E17
952,ENSMUSG00000073769,Olfr1331,OR10AK9
953,ENSMUSG00000096714,Olfr699,OR2AG17
954,ENSMUSG00000109020,Olfr197,OLFR197
955,ENSMUSG00000075169,Olfr1098,OR8H8
956,ENSMUSG00000051258,Olfr1362,OR2W4
957,ENSMUSG00000057540,Olfr310,OR14C46
958,ENSMUSG00000059112,Olfr1263,OR4C52
959,ENSMUSG00000073955,Olfr593,OR52S1
960,ENSMUSG00000109659,Olfr605,OR52S6
961,ENSMUSG00000066896,Olfr18,OR7E178
962,ENSMUSG00000107677,Olfr316,OR2AK4
963,ENSMUSG00000047286,Olfr370,OR10K2
964,ENSMUSG00000048378,Olfr1394,OR2O1
965,ENSMUSG00000075214,Olfr1002,OR5G25
966,ENSMUSG00000046041,Olfr803,OR6C3B
967,ENSMUSG00000070378,Olfr403,OR1A1
968,ENSMUSG00000055088,Olfr354,OR1N2
969,ENSMUSG00000078116,Olfr828,OR7G16
970,ENSMUSG00000050251,Olfr809,OR6C76
971,ENSMUSG00000049561,Olfr95,OR10C1
972,ENSMUSG00000096009,Olfr134,OR2N1
973,ENSMUSG00000073907,Olfr689,OR56B35
974,ENSMUSG00000044039,Olfr1288,OR4G7
975,ENSMUSG00000108919,Olfr1295,OR4K45
976,ENSMUSG00000047544,Olfr616,OR51AC3
977,ENSMUSG00000060742,Olfr1076,OR8K30
978,ENSMUSG00000096151,Olfr477,OR5P56
979,ENSMUSG00000072708,Olfr381,OR1E22
980,ENSMUSG00000094805,Olfr311,OR9E1
981,ENSMUSG00000042796,Olfr1032,OR5M3
982,ENSMUSG00000045225,Olfr1152,OR5W19
983,ENSMUSG00000056858,Olfr1502,OR9I1
984,ENSMUSG00000061336,Olfr116,OR14J10
985,ENSMUSG00000059106,Olfr961,OR10D4C
986,ENSMUSG00000083361,Olfr360,OR12K7
987,ENSMUSG00000067545,Olfr1419,OR10Q3
988,ENSMUSG00000052537,Olfr198,OR5AC16
989,ENSMUSG00000075192,Olfr1053,OR8K21
990,ENSMUSG00000075379,Olfr358,OR12K5
991,ENSMUSG00000095194,Olfr936,OLFR936
992,ENSMUSG00000054938,Olfr1346,OR6Z5
993,ENSMUSG00000062987,Olfr715b,OLFR715B
994,ENSMUSG00000054890,Olfr1535,OR2B7
995,ENSMUSG00000049010,Olfr982,OR10S1
996,ENSMUSG00000064110,Olfr963,OR10D4
997,ENSMUSG00000057761,Olfr1022,OR5M10B
998,ENSMUSG00000095586,Olfr1287,OR4K41
999,ENSMUSG00000090629,Olfr180,OR5K16
1000,ENSMUSG00000071000,Olfr155,OR13C7
1001,ENSMUSG00000046913,Olfr1451,OR5B99
1002,ENSMUSG00000101750,Olfr1392,OR2Y1F
1003,ENSMUSG00000047969,Olfr1093,OR5T5
1004,ENSMUSG00000096703,Olfr1286,OR4K40
1005,ENSMUSG00000075158,Olfr1111,OR5AS1
1006,ENSMUSG00000066749,Olfr877,OR8B9
1007,ENSMUSG00000075068,Olfr140,OR4C3D
1008,ENSMUSG00000056564,Olfr324,OR2AB1
1009,ENSMUSG00000073932,Olfr641,OR51I2
1010,ENSMUSG00000075125,Olfr1181,OR4P20
1011,ENSMUSG00000075215,Olfr1000,OR5G23
1012,ENSMUSG00000059411,Olfr434,OR2A20
1013,ENSMUSG00000093901,Olfr893,OR8C15
1014,ENSMUSG00000075187,Olfr1057,OR8J3B
1015,ENSMUSG00000075153,Olfr1135,OR5W12
1016,ENSMUSG00000096840,Olfr136,OR2N1D
1017,ENSMUSG00000075195,Olfr1048,OR8K17
1018,ENSMUSG00000047535,Olfr67,OR52Z1
1019,ENSMUSG00000075193,Olfr1051,OR8K20
1020,ENSMUSG00000075148,Olfr1141,OLFR1141
1021,ENSMUSG00000066748,Olfr145,OR8B8
1022,ENSMUSG00000096424,Olfr885,OR8B38
1023,ENSMUSG00000075149,Olfr1138,OR5W15
1024,ENSMUSG00000075218,Olfr995,OR5AK25
1025,ENSMUSG00000075206,Olfr1024,OR5M12
1026,ENSMUSG00000109631,Olfr494,OR5P69
1027,ENSMUSG00000046486,Olfr231,OR6K6
1028,ENSMUSG00000075075,Olfr1253,OR4A80
1029,ENSMUSG00000099820,Olfr1036,OR5M9B
1030,ENSMUSG00000066747,Olfr878,OR8B4
1031,ENSMUSG00000109449,Olfr1280,OR4K36
1032,ENSMUSG00000043529,Olfr266,OR11I1
1033,ENSMUSG00000063823,Olfr532,OR13A21
1034,ENSMUSG00000075175,Olfr1086,OR5T7
1035,ENSMUSG00000111772,Olfr228,OR8K41
1036,ENSMUSG00000063137,Olfr177,OR5K14
1037,ENSMUSG00000070983,Olfr270,OR13D1
1038,ENSMUSG00000072709,Olfr380,OR1E21
1039,ENSMUSG00000094721,Olfr1462,OR5B108
1040,ENSMUSG00000063176,Olfr955,OR8G35
1041,ENSMUSG00000048425,Olfr686,OR52X1
1042,ENSMUSG00000081234,Olfr1120,OR12E8
1043,ENSMUSG00000111711,Olfr1089,OR8K39
1044,ENSMUSG00000048469,Olfr564,OR51F23
1045,ENSMUSG00000050613,Olfr125,OR14J1
1046,ENSMUSG00000058515,Olfr933,OR8D1B
1047,ENSMUSG00000061637,Olfr1457,OR5B104
1048,ENSMUSG00000078118,Olfr483,OR5P59
1049,ENSMUSG00000049041,Olfr398,OR1R1
1050,ENSMUSG00000049057,Olfr1257,OR4C10B
1051,ENSMUSG00000059303,Olfr836,OR7G21
1052,ENSMUSG00000049674,Olfr714,OR10A2
1053,ENSMUSG00000094080,Olfr8,OR7A42
1054,ENSMUSG00000081836,Olfr1180,OR4P19
1055,ENSMUSG00000073953,Olfr596,OR52E19
1056,ENSMUSG00000046396,Olfr609,OR51AF1
1057,ENSMUSG00000045824,Olfr574,OR51T4
1058,ENSMUSG00000064084,Olfr1202,OR4C105
1059,ENSMUSG00000061875,Olfr1148,OR12E13
1060,ENSMUSG00000095448,Olfr859,OR7E168
1061,ENSMUSG00000062426,Olfr304,OR14A258
1062,ENSMUSG00000073946,Olfr617,OR52Z12
1063,ENSMUSG00000094496,Olfr792,OR6C66B
1064,ENSMUSG00000046650,Olfr1440,OR5AN6
1065,ENSMUSG00000083947,Olfr122,OR10AL6
1066,ENSMUSG00000058194,Olfr1126,OR12E7
1067,ENSMUSG00000075210,Olfr1012,OR9G3
1068,ENSMUSG00000044106,Olfr868,OR7E174
1069,ENSMUSG00000093884,Olfr239,OR10H1
1070,ENSMUSG00000045559,Olfr827,OR9K7
1071,ENSMUSG00000061387,Olfr1490,OR10W1
1072,ENSMUSG00000109403,Olfr1311,OR4F58
1073,ENSMUSG00000051313,Olfr1262,OR4C127
1074,ENSMUSG00000075120,Olfr1196,OR4A66
1075,ENSMUSG00000093980,Olfr493,OR5P68
1076,ENSMUSG00000074995,Olfr201,OR5AC19
1077,ENSMUSG00000074955,Olfr1305,OR4F56
1078,ENSMUSG00000060057,Olfr193,OR5H25
1079,ENSMUSG00000063188,Olfr107,OR1O1
1080,ENSMUSG00000075160,Olfr259,OR5AQ7
1081,ENSMUSG00000067513,Olfr1436,OR5AN10
1082,ENSMUSG00000110912,Olfr1080,OR8K33
1083,ENSMUSG00000042219,Olfr631,OR51M1
1084,ENSMUSG00000045508,Olfr1367,OR2B28
1085,ENSMUSG00000045528,Olfr891,OR8C13
1086,ENSMUSG00000050603,Olfr1008,OR8K16
1087,ENSMUSG00000058807,Olfr331,OR2T49
1088,ENSMUSG00000058856,Olfr952,OR8G33
1089,ENSMUSG00000059687,Olfr108,OR1O11
1090,ENSMUSG00000060105,Olfr504,OR56B1B
1091,ENSMUSG00000060170,Olfr1371,OR2Y6
1092,ENSMUSG00000062204,Olfr1373,OR2Y8
1093,ENSMUSG00000064333,Olfr926,OR8D2B
1094,ENSMUSG00000075185,Olfr1061,OR8K25
1095,ENSMUSG00000094197,Olfr474,OR5P54
1096,ENSMUSG00000094461,Olfr883,OR8B36
1097,ENSMUSG00000095525,Olfr834,OR7G12
1098,ENSMUSG00000096554,Olfr1282,OR4K38
1099,ENSMUSG00000109806,Olfr663,OR56B2J
1100,ENSMUSG00000110991,Olfr908,OLFR908
1101,ENSMUSG00000111239,Olfr1248,OR4A75
